C/A,UNIT,STATION,DIVISION,LINENAME,ENTRIES_10_12,EXITS_10_12,ENTRIES_13_16,EXITS_13_16,ENTRIES_17_20,EXITS_17_20,ENTRIES_21_22,EXITS_21_22,OPENED,CLOSED,PRIOR_REMOTES,PRIOR_STATIONS
N046,R281,72 ST,IND,BC,7670090,6576489,11894928,10155879,8014090,7128430,1870345,2586603,,,,
N049,R084,59 ST COLUMBUS,IND,ABCD1,16508817,22856111,25997303,35467784,20740406,29117501,4071832,7983230,,,,59 ST-COLUMBUS
N051,R084,59 ST COLUMBUS,IND,ABCD1,30125956,14745024,47606365,22698685,41386741,22020977,6721830,5864150,,,,59 ST-COLUMBUS
N056,R188,50 ST,IND,CE,6150134,7779852,11058510,11927910,8935074,9028468,1670657,2539671,,,,
N057,R188,50 ST,IND,CE,9101211,4274489,15933810,6133369,13537321,4939539,2127538,1696471,,,,
N060,R010,42 ST-PORT AUTH,IND,ACENGRS1237W,9645164,9739856,17594685,16776784,14878406,14527067,2347212,3727791,,,,"42 ST,42 ST-PA BUS TE"
N062,R011,42 ST-PORT AUTH,IND,ACENQRS1237W,12851448,11961126,19701344,19585988,16062183,18144044,2046666,4961561,,,,"42 STREET,42 ST-PA BUS TE"
N062A,R010,42 ST-PORT AUTH,IND,ACENQRS1237W,17704324,14040748,30753013,21907737,23658072,17333264,4004267,4969285,,,,"42 ST,42 ST-PA BUS TE"
N063,R011,42 ST-PORT AUTH,IND,ACENQRS1237W,11865765,8201928,19511378,11039840,17235345,7759654,3167185,2621601,,,,"42 STREET,42 ST-PA BUS TE"
N063A,R011,42 ST-PORT AUTH,IND,ACENQRS1237W,28177515,19635172,45044598,27621404,38763745,24566237,7820284,9201747,,,,"42 STREET,42 ST-PA BUS TE"
N067,R012,34 ST-PENN STA,IND,ACE,17746232,19149010,28376587,30399261,24552355,24674421,5242713,6792358,,,,
N068,R012,34 ST-PENN STA,IND,ACE,5601084,3144627,9564176,5287860,8131199,5674050,1218154,1164665,,,,
N069,R013,34 ST-PENN STA,IND,ACE,4407267,3415302,7369863,5555235,6252647,5213075,1072355,1242947,,,,
N070,R012,34 ST-PENN STA,IND,ACE,8171556,6663268,11310373,9744098,8007822,8302736,1470230,2562736,,,,
N071,R013,34 ST-PENN STA,IND,ACE,5331935,8006481,8097686,11996301,7288538,10650480,1302649,2864899,,,,
N072,R012,34 ST-PENN STA,IND,ACE,20252445,8068636,32376467,12547304,24295554,10819918,2864485,3078254,,,,
N073,R013,34 ST-PENN STA,IND,ACE,6161877,13694280,8068853,19407720,7735447,15455954,1217575,3657074,,,,
N075,R111,23 ST,IND,CE,3211983,1046609,5889390,1383903,5091904,1053355,743594,334056,,,,
N076,R111,23 ST,IND,CE,10939311,6200460,17548541,9655371,13591931,7395905,2305718,2057472,,,,
N077,R111,23 ST,IND,CE,4766201,6728851,7644206,10520493,5996153,7602690,957994,1950400,,,,
N078,R175,14 ST,IND,ACEL,14005896,14007432,24533902,22664078,22031596,21735135,3568232,6592351,,,,
N080,R138,W 4 ST-WASH SQ,IND,ABCDEFM,11773905,11556744,19478889,18033569,16288471,13395564,2728322,4458710,,,,
N083,R138,W 4 ST-WASH SQ,IND,ABCDEFM,22414295,22990703,36510326,36490791,29948759,29870547,4656128,8677223,,,,
N086,R282,SPRING ST,IND,CE,7291275,2059962,11288970,2572136,9241746,1995364,1530743,709818,,,,
N087,R282,SPRING ST,IND,CE,2442827,713898,4165810,946105,4137461,822575,722548,240496,,,,
N089,R139,CANAL ST,IND,ACE,10072399,5835303,15786596,10617846,13407888,11813076,2066896,3287315,,,,
N090,R139,CANAL ST,IND,ACE,5106141,5302474,8059679,8290231,7208132,6842507,1029715,1688902,,,,
N091,R029,CHAMBERS ST,IND,ACE23,9120440,6313739,15092943,9685257,13425255,8013483,2121878,1917321,,,,
N092,R029,CHAMBERS ST,IND,ACE23,19783213,8839484,28912613,13202393,15283363,9990731,1902434,2153515,,,,
N094,R029,WORLD TRADE CTR,IND,ACE23,10055188,5627860,16990922,8927702,17927498,13469171,2669407,3467483,,,,
N095,R014,FULTON ST,IND,ACJZ2345,10607336,6849268,30601732,13403752,22840868,9215597,3272116,2316075,,,,BROADWAY-NASSAU
N095A,R014,FULTON ST,IND,2345ACJZ,,,3833474,1370624,25265989,11100824,4491697,2998186,9/19/14 16:00,,,
N098,R028,FULTON ST,IND,2345ACJZ,1099172,1038558,15864003,14871286,11969880,12571375,2041464,3320894,9/15/12 3:00,,,
N100,R252,HIGH ST,IND,AC,3876060,4343871,7199845,7853347,7721226,8290593,1563516,2450012,,,,
N101,R252,HIGH ST,IND,AC,1910255,2235627,3207340,3941068,3427901,4483119,519908,1048095,,,,
N102,R127,JAY ST-METROTEC,IND,ACF,11106692,6884219,19416339,12758979,14896035,10954959,2246912,2487275,,,,JAY ST-BOROUGH
N103,R127,JAY ST-METROTEC,IND,ACF,16784413,11082983,28367289,15111786,24332344,12844076,4107840,4860398,,,,JAY ST-BOROUGH
N108,R217,HOYT-SCHER,IND,ACG,8281861,8209045,12410561,11108069,11985107,10510138,2375868,3590084,,,,HOYT/SCHERMER
N110,R283,LAFAYETTE AV,IND,C,4303775,2564039,6618123,3289304,5563589,2486537,1059959,835298,,,,LAFAYETTE AVE
N111,R284,CLINTON-WASH AV,IND,C,4118760,1166181,6694106,2154899,5705882,2306018,873303,781051,,,,
N112A,R284,CLINTON-WASH AV,IND,C,833749,2644382,1760162,4052023,1625100,3565860,337727,996994,,,,
N113,R297,FRANKLIN AV,IND,ACS,2409001,1095398,4333186,1664998,3764838,1460316,473007,483994,,,,FRANKLIN AVE
N114,R297,FRANKLIN AV,IND,ACS,2833036,4534412,4153585,6880980,3285415,5863654,759912,1721287,,,,FRANKLIN AVE
N116,R198,NOSTRAND AV,IND,AC,9822928,4561995,16315866,6283430,14275931,5359282,2831616,2755930,,,,NOSTRAND AVE
N117,R198,NOSTRAND AV,IND,AC,4284424,6145242,6576778,10124184,5300815,9372506,930224,2930564,,,,NOSTRAND AVE
N118,R199,KINGSTON-THROOP,IND,C,1129781,3053760,1768902,4869615,1372443,4786706,268643,1510357,,,,
N119,R199,KINGSTON-THROOP,IND,C,3444846,1294722,6103257,1681941,5788640,1459956,1072994,586567,,,,
N120,R153,UTICA AV,IND,AC,7931136,6085176,12987136,9200321,12218257,9378769,2362514,2884667,,,,UTICA AVE
N120A,R153,UTICA AV,IND,AC,4331434,3707328,7187225,6022051,5891606,5216032,983747,1502638,,,,UTICA AVE
N121B,R438,RALPH AV,IND,C,4353511,2928723,7345191,3692569,6512507,3417794,1280790,1141852,,,,RALPH AVE
N122,R439,ROCKAWAY AV,IND,C,2892920,2649494,4596808,4070740,3890674,3768198,791521,1140332,,,,ROCKAWAY AVE
N123B,R439,ROCKAWAY AV,IND,C,1373780,106919,2290487,154711,2391933,137504,463306,40050,,,,ROCKAWAY AVE
N124,R103,BROADWAY JCT,IND,ACJLZ,8103375,8971067,12912138,12151009,10451804,9721365,2221916,2853282,,,,BROADWAY-ENY
N125,R440,LIBERTY AV,IND,C,2242854,1790561,3471823,2010389,3026639,1553033,669524,538270,,,,LIBERTY AVE
N126,R441,VAN SICLEN AVE,IND,C,2487718,2437676,4026335,3716176,3443098,3364732,718938,1024257,,,,VAN SICLEN AV
N127,R442,SHEPHERD AV,IND,C,2585464,2141162,4214851,2533336,3567708,1971427,770807,712212,,,,SHEPHERD AVE
N128,R200,EUCLID AV,IND,AC,8582390,3367945,13976523,4131210,11814996,3899250,2542502,1388883,,,,EUCLID AVE
N129,R382,GRANT AV,IND,A,5388790,4972388,8439984,7086987,6576823,5684807,1378128,1796126,,,,GRANT AVE
N130,R383,80 ST,IND,A,1572290,875979,2249157,1131315,2046571,1052161,450888,289414,,,,HUDSON-80 ST
N131,R383,80 ST,IND,A,1974255,1827314,3247175,2471088,2592596,1561013,592702,481133,,,,HUDSON-80 ST
N133,R384,88 ST,IND,A,2213504,2147171,3450146,1892601,3053353,1249834,701972,393407,,,,BOYD-88 ST
N134,R385,ROCKAWAY BLVD,IND,A,3523104,2903456,5286843,2306005,4595271,1429476,1121379,399471,,,,
N135,R385,ROCKAWAY BLVD,IND,A,3151149,1230245,4296113,1709695,3749787,1202108,875356,321773,,,,
N137,R354,104 ST,IND,A,1407694,1272069,2095904,1107685,1935819,698662,467219,243679,,,,OXFORD-104 ST
N138,R355,111 ST,IND,A,805761,328653,1069541,428434,984729,375426,229233,99826,,,,GREENWOOD-111
N139,R355,111 ST,IND,A,1384354,1255184,1914519,1155866,1693815,591287,405519,174796,,,,GREENWOOD-111
N141,R356,OZONE PK LEFFRT,IND,A,6308763,5263739,9372053,8221792,8199544,6756071,1948646,2102595,,,,LEFFERTS BLVD
N181,R357,AQUEDUCT N.COND,IND,A,1596434,709147,1849028,2888961,1164591,1988087,204179,584745,,9/26/22 13:00,,AQUEDUCT-N CNDT
N181A,R464,AQUEDUCT RACETR,IND,A,68769,7924,2218534,252364,2189045,218545,361679,66996,,,,"AQUEDUCT,AQUEDUCT TRACK"
N182,R414,HOWARD BCH JFK,IND,A,1883236,728197,3645151,1026860,3091331,942420,607505,164808,,,,HOWARD BCH-JFK
N183,R415,BROAD CHANNEL,IND,AS,245356,77659,323027,106061,319251,93298,72096,42006,,9/28/22 13:00,,
N184,R416,BEACH 90 ST,IND,AS,970775,999441,1193185,1054477,1312141,1075509,223604,332072,,,,HOLLAND-B 90 ST
N185,R417,BEACH 98 ST,IND,AS,593037,696645,738226,772424,585067,593424,118773,197877,,,,PLAYLAND-B 98
N186,R418,BEACH 105 ST,IND,AS,224908,301428,367248,372511,330432,369953,66781,122551,,,,SEASIDE-B 105
N187,R419,ROCKAWAY PARK B,IND,AS,781836,966815,917368,1094809,866779,1028581,211296,342670,,,,ROCKAWAY PK 116
N191,R335,BEACH 67 ST,IND,A,1590982,1864146,2722964,2900767,2641644,2060704,594782,669754,,,,GASTON AV
N192,R336,BEACH 60 ST,IND,A,1763810,1811663,2822554,2945998,2385562,1882962,524069,569306,,,,STRAITON AV
N193,R337,BEACH 44 ST,IND,A,504106,619922,718031,796455,804288,920324,192414,319110,,,,FRANK AV
N194,R338,BEACH 36 ST,IND,A,688595,683233,1046071,1117868,1056485,1176666,258869,390480,,,,EDGMERE
N195,R358,BEACH 25 ST,IND,A,1223492,1496075,2002822,2224962,1978882,2258573,449391,713102,,,,WAVECREST-B 25
N196,R285,FAR ROCKAWAY,IND,A,3719519,4917257,5512290,5994781,5048648,5459944,1176977,1785619,,,,
N202,R315,155 ST,IND,BD,3427119,2212310,5257146,2745637,4100032,2284341,944196,828591,,,,
N203,R195,161/YANKEE STAD,IND,BD4,9748514,5139238,15122934,7518473,12700127,6899548,2792069,2296976,,,,161 ST-YANKEE
N204,R195,161/YANKEE STAD,IND,BD4,,,0,0,,,,,,,,161 ST-YANKEE
N205,R195,161/YANKEE STAD,IND,BD4,4186781,3512021,6487554,5250975,5453340,4624353,984053,1380218,,,,161 ST-YANKEE
N206,R104,167 ST,IND,BD,1691766,536190,2890841,771249,2112672,653743,518519,312511,,,,
N207,R104,167 ST,IND,BD,6336728,3698205,10214000,5101642,8633726,3809907,1746945,1266004,,,,
N208,R443,170 ST,IND,BD,2628037,1011068,4666378,1690356,4126213,1816099,824980,566333,,,,
N209,R443,170 ST,IND,BD,2773528,2087385,4476221,2887122,3821604,2582750,838003,872729,,,,
N210,R253,174-175 STS,IND,BD,2504758,1453113,4070579,1237026,2866464,970928,716724,376905,,,,174-175 ST
N212,R253,174-175 STS,IND,BD,1543772,1042634,2771672,1351617,2259132,1508518,558518,731185,,,,174-175 ST
N213,R154,TREMONT AV,IND,BD,7528343,6219420,12530881,8438994,11060643,7029689,2265625,2605633,,,,TREMONT AVE
N215,R237,182-183 STS,IND,BD,4017810,1662679,6504793,2354356,5435978,2129113,1227890,817594,,,,182-183 ST
N217,R112,FORDHAM RD,IND,BD,6438529,4900605,10469468,7205904,9024153,6737526,2052747,2347077,,,,FORDHAM ROAD
N218,R112,FORDHAM RD,IND,BD,3597665,429628,5385129,396507,4107481,373369,715654,116698,,,,FORDHAM ROAD
N220,R155,KINGSBRIDGE RD,IND,BD,2642849,2215885,8047932,9467442,5104356,4088996,954449,1237762,,,,
N221,R155,KINGSBRIDGE RD,IND,BD,3550277,2818457,5227588,3611706,4204231,3037161,818661,1021829,,,,
N222,R156,BEDFORD PK BLVD,IND,BD,3800648,3278322,6243839,5282936,5216202,4508224,1187229,1391726,,,,BEDFORD PARK BL
N223,R156,BEDFORD PK BLVD,IND,BD,1606960,278738,2750492,432443,2908187,358948,590184,110715,,,,BEDFORD PARK BL
N224,R157,NORWOOD 205 ST,IND,D,3719969,3192728,6045779,4483660,5173034,3608787,1126479,1218658,,,,"205 ST,NORWOOD-205 ST"
N225,R157,NORWOOD 205 ST,IND,D,3063760,2561234,5028012,4013251,4298627,3428970,991775,1149154,,,,"205 ST,NORWOOD-205 ST"
N300,R113,7 AV,IND,BDE,4735758,5697205,8419969,10140536,7625632,9081718,1186621,1938196,,,,7 AVE-53 ST
N301,R113,7 AV,IND,BDE,7076079,7729771,12131858,12735486,10155847,11277915,1568130,2952446,,,,7 AVE-53 ST
N303,R015,5 AV/53 ST,IND,EM,10021265,11473592,17876078,19345470,15231588,16230451,2195710,3799221,,,,"FIFTH AVE,5 AVE-53 ST"
N304,R015,5 AV/53 ST,IND,EM,7232642,5797064,11943087,12174900,9765847,11193652,1145462,2247652,,,,"FIFTH AVE,5 AVE-53 ST"
N305,R017,LEXINGTON AV/53,IND,EM6,10427691,10723157,15817855,16681346,10178023,12044757,1556178,2724303,,,,"LEXINGTON-3RD,LEXINGTON-53 ST"
N305A,R016,LEXINGTON AV/53,IND,EM6,6267302,7342765,9388046,11229135,7234471,8270957,960925,1699225,,,,"LEXINGTON-3RD,LEXINGTON-53 ST"
N306,R017,LEXINGTON AV/53,IND,EM6,15421078,15066656,28477566,26295927,24247703,22309558,3616894,5037141,,,,"LEXINGTON-3RD,LEXINGTON-53 ST"
N307,R359,COURT SQ-23 ST,IND,EMG,4767982,2296772,9551140,3464491,7157018,2422316,1466452,970245,,,,23 ST-ELY AV
N309A,R140,QUEENS PLAZA,IND,EMR,4877758,4912231,8102036,8378852,9207967,8920995,1657746,2848610,,,,
N310,R140,QUEENS PLAZA,IND,EMR,2323548,1944005,4263303,3283386,4160318,3187943,816474,1068526,,,,
N311,R339,36 ST,IND,MR,1159636,835501,1766164,1440736,1439082,1495620,287781,413768,,,,
N312,R339,36 ST,IND,MR,2211680,1927511,3627859,2617514,3509535,2021898,552350,579441,,,,
N314,R238,STEINWAY ST,IND,MR,4683629,2381584,7428083,4380126,6267820,4200680,1166568,1208326,,,,
N315,R238,STEINWAY ST,IND,MR,8334786,7330544,11745193,9877953,10192768,8225967,1895378,2553636,,,,
N316,R267,46 ST,IND,MR,3352723,1036790,5104928,1569861,4069227,1259569,701879,438731,,,,
N316A,R267,46 ST,IND,MR,3788437,3704338,5499821,4843030,4131530,3566505,890177,1207172,,,,
N317,R267,46 ST,IND,MR,912020,2433237,1373351,3734358,1076442,3072782,262602,825713,,,,
N318,R298,NORTHERN BLVD,IND,MR,4250512,1936676,6607848,2785715,5236158,2250356,1149108,804211,,,,
N319,R298,NORTHERN BLVD,IND,MR,1827342,2979701,2643760,4702049,2097682,3939820,525540,1168057,,,,
N322,R340,65 ST,IND,MR,3009673,2598210,4706532,3629574,3874538,2845222,872709,932650,,,,
N323,R018,JKSN HT-ROOSVLT,IND,EFMR7,11268059,7750114,15066656,12432156,13181276,11183231,3082976,3624301,,,,ROOSEVELT AVE
N324,R018,JKSN HT-ROOSVLT,IND,EFMR7,29848590,24587074,49297664,37840562,42648021,31929956,10825420,10775932,,,,ROOSEVELT AVE
N325A,R218,ELMHURST AV,IND,MR,11732704,3820367,17447288,4745103,14304579,3770578,3220114,1355334,,,,ELMHURST AVE
N327,R254,GRAND-NEWTOWN,IND,MR,15474780,5637011,23930645,10662606,20031811,11695462,4560868,3937661,,,,GRAND AV-NEWTON
N329,R201,WOODHAVEN BLVD,IND,MR,15664032,14113564,22045854,17128214,16721853,12906230,3774466,4142147,,,,
N329A,R201,WOODHAVEN BLVD,IND,MR,4099844,1115400,6739917,1129402,6097533,1004870,1299076,1277080,,,,
N330,R202,63 DR-REGO PARK,IND,MR,639947,349363,16136264,8398829,12684999,5801240,2763581,1815166,11/3/12 0:00,,,
N330B,R202,63 DR-REGO PARK,IND,MR,9599186,5641237,,,,,,,,11/2/12 20:00,,
N330C,R202,63 DR-REGO PARK,IND,MR,3071930,684146,4914681,1065445,4084503,827015,1371764,243183,,,,
N331,R219,67 AV,IND,MR,5050991,4642832,7589601,4393372,5950655,3244359,1224724,889935,,,,67 AVE
N332,R219,67 AV,IND,MR,2515060,1010214,3866255,1542810,3180052,1295603,662663,345354,,,,67 AVE
N333,R141,FOREST HILLS 71,IND,EFMR,2878536,2008409,4880529,3227052,3387891,2474790,633912,794816,,,,"71 ST-CONTINENT,FOREST HILLS-71"
N333A,R141,FOREST HILLS 71,IND,EFMR,11712370,3763731,17402110,3437648,13073670,4173758,2669552,1226761,,,,"71 ST-CONTINENT,FOREST HILLS-71"
N333B,R141,FOREST HILLS 71,IND,EFMR,8420853,6562776,12915327,9385367,12470216,8609589,2787516,2655735,,,,"71 ST-CONTINENT,FOREST HILLS-71"
N334B,R341,75 AV,IND,EF,3135006,351294,4588735,528393,3547787,1017726,725922,390376,,,,75 AVE
N335,R158,KEW GARDENS,IND,EF,8903614,9505002,13474908,14410127,10324176,11017781,2017172,2679904,,,,UNION TPK-KEW G
N336,R158,KEW GARDENS,IND,EF,13836324,8160257,20668128,16722748,16568883,16073921,3809208,4728245,,,,UNION TPK-KEW G
N337,R255,BRIARWOOD,IND,EF,4577389,2224777,6005757,2949554,5194081,2734578,1231261,864518,,,,VAN WYCK BLVD
N338,R128,SUTPHIN BLVD,IND,F,1184983,575229,1932284,804869,1538681,620436,367213,189468,,,,
N338B,R128,SUTPHIN BLVD,IND,F,2901482,1875305,4108621,2768986,3286834,2685081,780939,961393,,,,
N339,R114,PARSONS BLVD,IND,F,504917,130023,986475,286142,1014118,273425,253657,77098,,,,
N339A,R114,PARSONS BLVD,IND,F,4804552,5640022,7388465,7915934,6345640,6835494,1629768,2200444,,,,
N340,R115,169 ST,IND,F,2595915,2638529,4048140,4464657,3044012,3827028,674286,1096926,,,,
N340A,R115,169 ST,IND,F,4948020,4197851,7426344,4878465,5789769,4148897,1340723,1390751,,,,
N342,R019,JAMAICA 179 ST,IND,F,7583436,3325331,10774600,4853463,8196511,3993872,1989552,1350553,,,,"179 STREET,JAMAICA-179 ST"
N343,R019,JAMAICA 179 ST,IND,F,11290912,5892040,17342871,7726409,14437950,5915268,3250851,1636947,,,,"179 STREET,JAMAICA-179 ST"
N400A,R359,COURT SQ,IND,EMG,7519128,4470863,11283943,7588606,11672584,10640415,1419203,2577899,,,,
N401,R360,21 ST,IND,G,1078291,1207034,1994898,2204147,1960648,2120322,415198,737236,,,,VAN ALSTON-21ST
N405,R239,GREENPOINT AV,IND,G,6616544,4274644,10905581,7546817,10315188,7922974,2140090,2647649,,,,GREENPOINT AVE
N408A,R256,NASSAU AV,IND,G,6416735,4359744,11257452,6228105,10835681,7960066,1973926,3622831,,,,NASSAU ST
N409,R268,METROPOLITAN AV,IND,GL,7317183,4455102,12556432,7713277,13860265,9650895,1996354,2675867,,,,
N412,R299,BROADWAY,IND,G,2710235,2388849,4964882,4075950,5127997,4201022,1230608,1476011,,,,
N414,R316,FLUSHING AV,IND,G,780311,907423,1525451,1832320,1416790,1671547,371653,718764,,,,FLUSHING AVE
N414A,R316,FLUSHING AV,IND,G,904809,766560,1797886,1458510,1554135,1476429,461128,537568,,,,FLUSHING AVE
N415,R286,MYRTLE-WILLOUGH,IND,G,2000504,1840348,3586896,3481044,3299843,3080483,705577,1122505,,,,
N416,R286,MYRTLE-WILLOUGH,IND,G,1721132,301966,3547570,398040,2957612,326381,626721,106079,,,,
N417,R269,BEDFORD-NOSTRAN,IND,G,3355592,3020082,6073505,5033113,5890840,5128208,1124196,1824988,,,,"BEDFORD/NOSTREN,BEDFORD/NOSTRAN"
N418,R269,BEDFORD-NOSTRAN,IND,G,2243709,1072865,4238795,1277449,3675225,543640,638707,205886,,,,"BEDFORD/NOSTREN,BEDFORD/NOSTRAN"
N419,R287,CLASSON AV,IND,G,3575974,3393031,6176506,5839151,5735425,5626208,1149388,1932095,,,,CLASSON AVE
N420B,R317,CLINTON-WASH AV,IND,G,4389102,827081,6766528,1057597,5359959,1528901,1022168,976977,,,,
N422,R318,FULTON ST,IND,G,3302131,3292624,6242265,5704468,6080458,5095923,1365355,1941722,,,,
N500,R020,47-50 STS ROCK,IND,BDFM,24008111,21657113,37399869,33992531,29118883,26922184,3834971,5454524,,,,47-50 ST-ROCK
N501,R020,47-50 STS ROCK,IND,BDFM,15945892,16785523,24894627,26146140,21068490,22058307,3810719,5792529,,,,47-50 ST-ROCK
N501A,R020,47-50 STS ROCK,IND,BDFM,6560897,8922063,10511546,14301311,9727566,12784750,1694656,3132775,,,,47-50 ST-ROCK
N502,R021,42 ST-BRYANT PK,IND,BDFM7,10722556,4595044,18922849,7736316,14186368,6053370,1590814,1232352,,,,42 STREET
N503,R021,42 ST-BRYANT PK,IND,BDFM7,8520318,12452442,10960187,18211855,10595513,16333806,2124911,4734091,,,,42 STREET
N504,R021,42 ST-BRYANT PK,IND,BDFM7,11748081,13449931,20134656,22182120,17816142,19141441,2706877,4497940,,,,42 STREET
N505,R022,34 ST-HERALD SQ,IND,BDFMNQRW,15383308,14693927,26490134,23711635,22387424,19407830,3674035,5140887,,,,34 STREET
N506,R022,34 ST-HERALD SQ,IND,BDFMNQRW,30143683,27905316,43869576,38749285,38243443,32934705,7448520,10239603,,,,34 STREET
N507,R023,34 ST-HERALD SQ,IND,BDFMNQRW,19549116,21606040,27038219,33341157,29060298,33966399,2441312,5462445,,,,34 STREET
N508,R453,23 ST,IND,FM,9408166,11122404,15938379,16897325,11505114,12375878,1927168,3785262,,,,"23RD STREET,23 ST-6 AVE"
N509,R203,23 ST,IND,FM,11937982,8890305,19245987,13641874,14832949,10035425,2726053,3121085,,,,23 ST-6 AVE
N510,R163,14 ST,IND,FLM123,3111074,3172842,4972021,5087296,4666853,4773280,659136,1154282,,,,14 ST-6 AVE
N511,R163,14 ST,IND,FLM123,3455144,3028085,5704606,4858208,5113387,4530659,654468,1080802,,,,14 ST-6 AVE
N512,R163,14 ST,IND,FLM123,5323776,7123489,7848028,11090106,5900795,8766953,920754,2282056,,,,14 ST-6 AVE
N513,R163,14 ST,IND,FLM123,3562776,4118406,5215379,5934744,3331637,4032237,624488,1302042,,,,14 ST-6 AVE
N519,R461,B'WAY-LAFAYETTE,IND,BDFQ6,12840623,15195364,19322702,22450111,12979650,17372112,2275713,5256039,,,,BROADWAY/LAFAY
N519A,R461,B'WAY-LAFAYETTE,IND,BDFQ6,8970434,9160069,12119119,16763094,9966459,13684030,1568022,3903248,,,,BROADWAY/LAFAY
N520,R240,GRAND ST,IND,BD,20846983,17914891,32223679,24539748,26101329,19662736,5732444,7072172,,,,
N521,R300,2 AV,IND,F,5015450,5425839,7993188,8330770,5688159,6585037,956180,2072152,,,,2 AVE
N523,R300,2 AV,IND,F,10257488,9981851,15459740,14504647,12410789,11569928,2269309,3790276,,,,2 AVE
N525,R142,DELANCEY/ESSEX,IND,FJMZ,8191013,6307204,13471329,10060651,11294226,8428627,2009834,2896617,,,,DELANCEY ST
N526,R142,DELANCEY/ESSEX,IND,FJMZ,4014272,4247067,7047239,7012822,7033030,6488410,1851817,2671919,,,,DELANCEY ST
N528,R257,EAST BROADWAY,IND,F,5805254,2745968,9663373,5058289,8090945,3873042,1526730,1438723,,,,
N529,R257,EAST BROADWAY,IND,F,5145883,3958780,8359877,5226552,6884004,3861755,1501699,1611627,,,,
N530,R301,YORK ST,IND,F,6107726,5787539,11658801,8970323,11722595,5748012,2197536,2683446,,,,
N531,R129,BERGEN ST,IND,FG,1225488,3867572,2034801,5961125,1862642,4948826,381421,1383846,,,,
N532,R129,BERGEN ST,IND,FG,3787073,1125171,5948055,1867186,4954952,1693262,815094,557438,,,,
N533,R129,BERGEN ST,IND,FG,4343189,1026132,6794827,1439388,5179020,1026149,963919,1242326,,,,
N534,R220,CARROLL ST,IND,FG,3824469,740215,6024073,1268232,4776167,1041785,787461,413237,,,,
N535,R220,CARROLL ST,IND,FG,5872668,4626041,8677797,5561107,7244683,4432524,1414309,1482831,,,,
N536,R270,SMITH-9 ST,IND,FG,1678874,1949042,5673226,6406076,5094162,6228053,1029535,2003531,,,,SMITH/9 ST
N537,R258,4 AV-9 ST,IND,DFGMNR,5133744,5600589,5406897,6886848,3957772,5515214,837063,1718385,,,,4 AVE
N539,R288,7 AV,IND,FG,,,,,8071368,4147487,2439936,2137660,2/24/18 0:00,,,
N539A,R288,7 AV,IND,FG,10073214,2584913,15360125,4006140,4169835,2218480,,,,2/9/18 20:00,,7 AV-PARK SLOPE
N541,R241,15 ST-PROSPECT,IND,FG,1796599,1125757,3139692,1854488,3346232,1451840,490908,498834,,,,
N542,R241,15 ST-PROSPECT,IND,FG,2874979,1472160,4897276,1905636,4082316,2531979,738457,707737,,,,
N543,R289,FT HAMILTON PKY,IND,FG,1823864,1256888,3027153,1939790,2417989,1597438,491801,454569,,,,
N544,R289,FT HAMILTON PKY,IND,FG,2109071,275024,4087161,343411,3646793,581473,752851,153941,,,,
N545,R204,CHURCH AV,IND,FG,2817023,962047,4147850,1272449,3310783,975223,759673,285500,,,,CHURCH AVE
N546,R204,CHURCH AV,IND,FG,5882827,5641459,9275935,8111103,7761555,6565941,1828602,2130546,,,,CHURCH AVE
N547,R420,DITMAS AV,IND,F,1065642,387531,1315634,591067,1085314,444058,257357,97805,,,,DITMAS AVE
N548,R420,DITMAS AV,IND,F,2741799,2686632,3724240,2988764,2982150,1894752,727062,643984,,,,DITMAS AVE
N549,R242,18 AV,IND,F,2754652,2788492,4229862,3746543,3220355,2254766,720550,810651,,,,18 AVE
N550,R242,18 AV,IND,F,819529,432986,1177629,635922,928742,332457,186970,124184,,,,18 AVE
N551,R421,AVENUE I,IND,F,1908650,1761332,2708926,2325482,1647927,926749,488822,287041,,,,"AVI, AVE I"
N553,R422,BAY PKWY,IND,F,1243886,748068,1883503,765669,965582,372393,319292,151422,,,,"22 AV-BAY PKY,22 AVE-BAY PKY"
N554,R423,AVENUE N,IND,F,846202,437559,1295972,592566,709194,151795,191981,67947,,,,"AV N,AVE N"
N555,R423,AVENUE N,IND,F,1987072,1674411,2845219,2156313,1885852,879903,498041,279804,,,,"AV N,AVE N"
N556,R424,AVENUE P,IND,F,2296511,1625301,3462791,1854751,2171929,932371,586260,355484,,,,AVE P
N557,R130,KINGS HWY,IND,F,2363552,2396704,3770763,3812420,3472583,3330474,641270,863248,,,,KINGS HIGHWAY
N558,R130,KINGS HWY,IND,F,720196,754418,1221049,927429,1150965,615969,188641,142624,,,,KINGS HIGHWAY
N559,R425,AVENUE U,IND,F,1973622,902995,2972521,1049243,1535116,730653,438957,255252,,,,AVE U
N561,R271,AVENUE X,IND,F,2480440,1755664,3325899,1823437,2806091,1671527,631834,530061,,,,AVE X
N562,R426,NEPTUNE AV,IND,F,1445991,491847,2136954,725894,1578584,604856,370007,212029,,,,NEPTUNE AVE
N600,R302,57 ST,IND,F,12343772,11432823,18754995,16827422,14670333,12910807,2664042,4162362,,,,
N601,R319,LEXINGTON AV/63,IND,F,12968099,14818998,18847868,21298430,12593871,15120203,2305619,3848839,,,,"LEXINGTON AV,LEXINGTON AVE"
